Id,Name,variant,Table Days,Fridge Days,Freezer Days,Human Readable,Defrost Time,Storage Instructions
cltdh1ayn00159cv96w1n87hn,Cherries,,0,3,0,,1,
cltdh1ayn00169cv96qkd62zl,Grapes,,0,7,0,,1,
cltdh1ayo00179cv96wz4eitj,Mangos,,0,7,0,,1,
cltdh1ayo00189cv97chc8vuk,Peaches,,0,5,0,,1,
cltdh1ayo00199cv9bs28b02y,Pineapple,,0,5,0,,1,
cltdh1ayo001a9cv9b3iegcx3,Watermelon,,0,3,0,,1,
cltdh1ayo001b9cv94v40b18b,Asparagus,,0,4,0,,1,
cltdh1ayp001c9cv9fvm11mhq,Brussel Sprouts,,0,5,0,,1,
cltdh1ayp001d9cv9cgx9biz3,Cucumbers,,0,6,0,,1,
cltdh1ayp001e9cv9d5ky3zez,Mushrooms,,0,7,0,,1,
cltdh1ayp001f9cv9bbv4bmhb,Tomatoes,,7,0,0,,1,
cltdh1ayq001g9cv9e595a47x,Whole Spices,,1460,0,0,,1,
cltdh1ayq001h9cv9e5q563hw,Ground Spices,,730,0,0,,1,
cltdh1ayq001i9cv9d78t32cy,Citrus Fruit,,2,31,0,,1,
cltdh1ayq001j9cv9gu0i3qzq,Greek Yogurt,,0,21,0,,1,
cltdh1ayr001k9cv9f8bc75v1,Olive Oil,,540,0,0,,1,
cltdh1ayr001l9cv9a03k9sbn,Fresh Herbs,,0,7,0,,1,
cltdh1ayr001m9cv9as3p8aa6,Vinegars,,1095,0,0,,1,
cltdh1ayr001n9cv9euq46y0u,Sour Cream,,0,14,0,,1,
